FID,YEAR_,DISTRICT,COSITE,ROADWAY,DESC_FRM,DESC_TO,AADT,AADTFLG,KFLG,K100FLG,DFLG,TFLG,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,KFCTR,K100FCTR,DFCTR,TFCTR,Shape_Leng,Shape__Length
14723,2024,5,700372,70220000,Bridge No-700209,Bridge No-700941,101500,F,F,F,F,1,70,Brevard,5,20.691,23.566,9,0,52.4,11.5,4626.8583,4626.85832304518
14724,2024,3,560211,56040000,FRANKLIN CO LINE,CR-12,600,F,F,F,F,1,56,Liberty,3,0,10.895,9.5,0,60.7,18,17555.2283,17555.2283429341
14725,2024,5,797073,79000154,SPRUCE CK BLVD,CRANE LAKES BLVD,11700,S,F,F,F,2,79,Volusia,5,0.679,1.854,9,0,57.7,4.3,1891.0854,1891.08538771113
14726,2024,5,708041,70000100,PORT MALABAR BLVD,PALM BAY RD,7600,C,F,F,F,A,70,Brevard,5,0,1.37,9,0,53.8,3.4,2199.0373,2199.03732491131
14727,2024,3,555181,55531000,ACADIAN BLVD,US-90/SR-10/MAHAN DR,7000,F,F,F,F,F,55,Leon,3,0.755,0.911,9,0,66.1,5,251.4635,251.463548458548
14728,2024,6,878578,87000549,PALM ISLE APARTMENT,NW 112 AV,10400,F,F,F,F,F,87,Miami-Dade,6,0,0.248,9,0,52.7,7.8,403.0759,403.075949741443
14729,2024,5,791012,79070000,SR-415,79002023 NB OFF,21000,C,F,F,F,A,79,Volusia,5,20.196,25.174,9.5,0,57.7,6.4,7992.028,7992.02798683473
14730,2024,5,708094,70000382,N TROPICAL TRL,N COURTENAY PKWY,2700,C,F,F,F,A,70,Brevard,5,0,0.61,9,0,53.8,11.7,981.1893,981.189344879108
14731,2024,4,860306,86030005,NB SR-A1A/OCEAN DR,86040002 WB ON,7492,C,A,A,A,A,86,Broward,4,0,0.123,9,0,99.9,2.3,189.4771,189.477073834194
14732,2024,4,864075,86075015,NB I-75/SR-93,EB SR-802/PINES BLVD,12000,F,F,F,W,F,86,Broward,4,0,0.222,8,0,99.9,3.7,357.2796,357.279642464971
14733,2024,5,752375,75525006,WORLD DR SB,BUENA VISTA DR EB,3400,C,F,F,W,F,75,Orange,5,0,0.316,9,0,99.9,2.8,518.9973,518.997307498753
14734,2024,3,550214,55020000,CR-1543/CHAIRES CROS,CR-59/VETERANS MEMOR,5700,F,F,F,F,A,55,Leon,3,9.878,14.832,9.5,0,66.1,6.6,7976.9104,7976.91037727685
